mmsi,vessel_name,timestamp,latitude,longitude,sog,cog,ship_type
636019001,Vessel Alpha,2015-11-15 16:00:00,59.9000,4.6500,10.5,78.0,Tanker
636019001,Vessel Alpha,2015-11-15 17:00:00,59.9250,4.6900,10.2,78.0,Tanker
636019001,Vessel Alpha,2015-11-15 18:00:00,59.9500,4.7300,10.0,77.0,Tanker
636019001,Vessel Alpha,2015-11-15 19:00:00,59.9750,4.7700,9.8,77.0,Tanker
636019001,Vessel Alpha,2015-11-15 20:00:00,60.0000,4.8100,9.6,76.0,Tanker

636019002,Vessel Bravo,2015-11-15 16:00:00,59.7000,5.2000,12.0,250.0,Cargo
636019002,Vessel Bravo,2015-11-15 17:00:00,59.6800,5.1500,11.8,250.0,Cargo
636019002,Vessel Bravo,2015-11-15 18:00:00,59.6600,5.1000,11.5,250.0,Cargo
636019002,Vessel Bravo,2015-11-15 19:00:00,59.6400,5.0500,11.2,250.0,Cargo

636019003,Vessel Charlie,2015-11-15 17:00:00,59.9200,4.6000,7.0,90.0,Tanker
636019003,Vessel Charlie,2015-11-15 18:00:00,59.9300,4.6900,7.0,90.0,Tanker
636019003,Vessel Charlie,2015-11-15 19:00:00,59.9400,4.7800,7.0,90.0,Tanker
636019003,Vessel Charlie,2015-11-15 20:00:00,59.9500,4.8700,7.0,90.0,Tanker

636019004,Vessel Delta,2015-11-15 17:00:00,60.3000,4.2000,15.0,180.0,Cargo
636019004,Vessel Delta,2015-11-15 18:00:00,60.2500,4.2000,15.0,180.0,Cargo
636019004,Vessel Delta,2015-11-15 19:00:00,60.2000,4.2000,15.0,180.0,Cargo

636019005,Vessel Echo,2015-11-15 17:00:00,59.9600,4.7600,1.5,20.0,Tanker
636019005,Vessel Echo,2015-11-15 18:00:00,59.9620,4.7650,1.2,20.0,Tanker
636019005,Vessel Echo,2015-11-15 19:00:00,59.9650,4.7700,1.0,20.0,Tanker
