mmsi,vessel_name,timestamp,latitude,longitude,sog,cog,ship_type
700000001,Synthetic Alpha,2026-09-01 15:00:00+00:00,14.88,87.72,9.5,60.0,Tanker
700000001,Synthetic Alpha,2026-09-01 16:00:00+00:00,14.9,87.765,9.5,60.0,Tanker
700000001,Synthetic Alpha,2026-09-01 17:00:00+00:00,14.92,87.81,9.5,60.0,Tanker
700000001,Synthetic Alpha,2026-09-01 18:00:00+00:00,14.94,87.855,9.5,60.0,Tanker
700000001,Synthetic Alpha,2026-09-01 19:00:00+00:00,14.96,87.9,9.5,60.0,Tanker
700000001,Synthetic Alpha,2026-09-01 20:00:00+00:00,14.98,87.945,9.5,60.0,Tanker
700000001,Synthetic Alpha,2026-09-01 21:00:00+00:00,15.0,87.99,9.5,60.0,Tanker
700000001,Synthetic Alpha,2026-09-01 22:00:00+00:00,15.02,88.035,9.5,60.0,Tanker
700000001,Synthetic Alpha,2026-09-01 23:00:00+00:00,15.04,88.08,9.5,60.0,Tanker
700000002,Synthetic Bravo,2026-09-01 15:00:00+00:00,14.65,88.35,11.5,135.0,Cargo
700000002,Synthetic Bravo,2026-09-01 16:00:00+00:00,14.675,88.375,11.5,135.0,Cargo
700000002,Synthetic Bravo,2026-09-01 17:00:00+00:00,14.7,88.4,11.5,135.0,Cargo
700000002,Synthetic Bravo,2026-09-01 18:00:00+00:00,14.725,88.425,11.5,135.0,Cargo
700000002,Synthetic Bravo,2026-09-01 19:00:00+00:00,14.75,88.45,11.5,135.0,Cargo
700000002,Synthetic Bravo,2026-09-01 20:00:00+00:00,14.775,88.475,11.5,135.0,Cargo
700000002,Synthetic Bravo,2026-09-01 21:00:00+00:00,14.8,88.5,11.5,135.0,Cargo
700000002,Synthetic Bravo,2026-09-01 22:00:00+00:00,14.825,88.525,11.5,135.0,Cargo
700000002,Synthetic Bravo,2026-09-01 23:00:00+00:00,14.85,88.55,11.5,135.0,Cargo
700000003,Synthetic Charlie,2026-09-01 11:00:00+00:00,15.1,87.8,7.0,220.0,Tanker
700000003,Synthetic Charlie,2026-09-01 12:00:00+00:00,15.075,87.84,7.0,220.0,Tanker
700000003,Synthetic Charlie,2026-09-01 13:00:00+00:00,15.05,87.88,7.0,220.0,Tanker
700000003,Synthetic Charlie,2026-09-01 14:00:00+00:00,15.025,87.92,7.0,220.0,Tanker
700000003,Synthetic Charlie,2026-09-01 15:00:00+00:00,15.0,87.96,7.0,220.0,Tanker
700000003,Synthetic Charlie,2026-09-01 16:00:00+00:00,14.975,88.0,7.0,220.0,Tanker
700000003,Synthetic Charlie,2026-09-01 17:00:00+00:00,14.95,88.04,7.0,220.0,Tanker
700000003,Synthetic Charlie,2026-09-01 18:00:00+00:00,14.925,88.08,7.0,220.0,Tanker
700000003,Synthetic Charlie,2026-09-01 19:00:00+00:00,14.9,88.12,7.0,220.0,Tanker
700000004,Synthetic Delta,2026-09-01 15:00:00+00:00,13.5,86.0,13.0,45.0,Cargo
700000004,Synthetic Delta,2026-09-01 16:00:00+00:00,13.5375,86.0375,13.0,45.0,Cargo
700000004,Synthetic Delta,2026-09-01 17:00:00+00:00,13.575,86.075,13.0,45.0,Cargo
700000004,Synthetic Delta,2026-09-01 18:00:00+00:00,13.6125,86.1125,13.0,45.0,Cargo
700000004,Synthetic Delta,2026-09-01 19:00:00+00:00,13.65,86.15,13.0,45.0,Cargo
700000004,Synthetic Delta,2026-09-01 20:00:00+00:00,13.6875,86.1875,13.0,45.0,Cargo
700000004,Synthetic Delta,2026-09-01 21:00:00+00:00,13.725,86.225,13.0,45.0,Cargo
700000004,Synthetic Delta,2026-09-01 22:00:00+00:00,13.7625,86.2625,13.0,45.0,Cargo
700000004,Synthetic Delta,2026-09-01 23:00:00+00:00,13.8,86.3,13.0,45.0,Cargo
700000005,Synthetic Echo,2026-09-01 15:00:00+00:00,14.94,87.95,1.5,50.0,Tanker
700000005,Synthetic Echo,2026-09-01 16:00:00+00:00,14.945,87.955,1.5,50.0,Tanker
700000005,Synthetic Echo,2026-09-01 17:00:00+00:00,14.95,87.96,1.5,50.0,Tanker
700000005,Synthetic Echo,2026-09-01 18:00:00+00:00,14.955,87.965,1.5,50.0,Tanker
700000005,Synthetic Echo,2026-09-01 19:00:00+00:00,14.96,87.97,1.5,50.0,Tanker
700000005,Synthetic Echo,2026-09-01 20:00:00+00:00,14.965,87.975,1.5,50.0,Tanker
700000005,Synthetic Echo,2026-09-01 21:00:00+00:00,14.97,87.98,1.5,50.0,Tanker
700000005,Synthetic Echo,2026-09-01 22:00:00+00:00,14.975,87.985,1.5,50.0,Tanker
700000005,Synthetic Echo,2026-09-01 23:00:00+00:00,14.98,87.99,1.5,50.0,Tanker
